NR_PEDIDO_PARTICIPA;DT_RECURSO;ID_PEDIDO;DS_JUSTIFICATIVA_RECURSO;DS_INSTANCIA;DT_INICIO_PRAZO_RECURSO;DT_TERMINO_PRAZO_RECURSO;RESPOSTAS.DT_RESPOSTA;RESPOSTAS.DS_TIPO_RESPOSTA;RESPOSTAS.DS_CLASSIFICACAO_RESPOSTA;RESPOSTAS.DS_TIPO_CLASSIFICACAO_RESPOSTA
LAI-005161/2026;04/03/2026 01:06;83502;Informação recebida não corresponde à solicitada;Primeira Instância;05/03/2026 00:00;09/03/2026 23:59;06/03/2026 18:02;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005178/2026;01/04/2026 17:11;83519;Informação recebida não corresponde à solicitada;Primeira Instância;02/04/2026 00:00;06/04/2026 23:59;06/04/2026 16:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005186/2026;14/03/2026 18:23;83527;Informação recebida não corresponde à solicitada;Primeira Instância;16/03/2026 00:00;20/03/2026 23:59;19/03/2026 12:09;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005530/2026;27/03/2026 22:09;83871;Informação recebida não corresponde à solicitada;Primeira Instância;30/03/2026 00:00;06/04/2026 23:59;06/04/2026 10:34;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005532/2026;27/03/2026 20:02;83873;Informação recebida não corresponde à solicitada;Primeira Instância;30/03/2026 00:00;06/04/2026 23:59;06/04/2026 10:33;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005574/2026;28/03/2026 12:19;83915;Informação recebida não corresponde à solicitada;Primeira Instância;30/03/2026 00:00;06/04/2026 23:59;06/04/2026 10:32;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005612/2026;30/03/2026 19:20;83953;Informação recebida não corresponde à solicitada;Primeira Instância;31/03/2026 00:00;06/04/2026 23:59;01/04/2026 15:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005746/2026;11/03/2026 15:09;84087;Informação recebida não corresponde à solicitada;Primeira Instância;12/03/2026 00:00;16/03/2026 23:59;16/03/2026 17:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005747/2026;11/03/2026 15:11;84088;Informação recebida não corresponde à solicitada;Primeira Instância;12/03/2026 00:00;16/03/2026 23:59;16/03/2026 17:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005748/2026;11/03/2026 07:59;84089;Informação recebida não corresponde à solicitada;Primeira Instância;12/03/2026 00:00;16/03/2026 23:59;16/03/2026 17:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005849/2026;24/03/2026 22:50;84190;Informação recebida não corresponde à solicitada;Primeira Instância;25/03/2026 00:00;30/03/2026 23:59;30/03/2026 11:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005947/2026;17/03/2026 16:16;84288;Informação recebida não corresponde à solicitada;Primeira Instância;18/03/2026 00:00;23/03/2026 23:59;23/03/2026 15:32;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006012/2026;16/03/2026 10:57;84353;Informação recebida não corresponde à solicitada;Primeira Instância;17/03/2026 00:00;23/03/2026 23:59;23/03/2026 16:27;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006055/2026;12/03/2026 14:16;84396;Informação recebida não corresponde à solicitada;Primeira Instância;13/03/2026 00:00;17/03/2026 23:59;13/03/2026 01:21;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006129/2026;16/03/2026 14:11;84470;Informação recebida não corresponde à solicitada;Primeira Instância;17/03/2026 00:00;23/03/2026 23:59;23/03/2026 14:28;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006150/2026;25/03/2026 08:42;84491;Informação recebida não corresponde à solicitada;Primeira Instância;26/03/2026 00:00;30/03/2026 23:59;30/03/2026 09:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006415/2026;27/03/2026 20:10;84756;Informação recebida não corresponde à solicitada;Primeira Instância;30/03/2026 00:00;06/04/2026 23:59;02/04/2026 18:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006475/2026;18/03/2026 00:06;84816;Informação recebida não corresponde à solicitada;Primeira Instância;19/03/2026 00:00;23/03/2026 23:59;23/03/2026 14:18;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006476/2026;18/03/2026 00:12;84817;Informação recebida não corresponde à solicitada;Primeira Instância;19/03/2026 00:00;23/03/2026 23:59;23/03/2026 12:29;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006580/2026;18/03/2026 09:32;84921;Informação recebida não corresponde à solicitada;Primeira Instância;19/03/2026 00:00;23/03/2026 23:59;23/03/2026 07:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006786/2026;27/04/2026 17:29;85127;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;04/05/2026 15:45;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006872/2026;30/03/2026 19:30;85213;Informação recebida não corresponde à solicitada;Primeira Instância;31/03/2026 00:00;06/04/2026 23:59;06/04/2026 16:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006974/2026;17/04/2026 20:34;85315;Informação recebida não corresponde à solicitada;Primeira Instância;22/04/2026 00:00;27/04/2026 23:59;23/04/2026 11:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006978/2026;13/04/2026 13:01;85319;Informação recebida não corresponde à solicitada;Primeira Instância;14/04/2026 00:00;22/04/2026 23:59;21/04/2026 09:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007698/2026;06/04/2026 09:22;86039;Informação recebida não corresponde à solicitada;Primeira Instância;07/04/2026 00:00;13/04/2026 23:59;10/04/2026 08:36;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007906/2026;10/04/2026 14:42;86247;Informação recebida não corresponde à solicitada;Primeira Instância;13/04/2026 00:00;17/04/2026 23:59;17/04/2026 09:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008211/2026;23/04/2026 21:15;86552;Informação recebida não corresponde à solicitada;Primeira Instância;24/04/2026 00:00;28/04/2026 23:59;28/04/2026 14:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008301/2026;16/04/2026 11:09;86642;Informação recebida não corresponde à solicitada;Primeira Instância;17/04/2026 00:00;22/04/2026 23:59;22/04/2026 15:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008396/2026;07/04/2026 15:33;86737;Informação recebida não corresponde à solicitada;Primeira Instância;08/04/2026 00:00;13/04/2026 23:59;13/04/2026 09:03;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008523/2026;27/04/2026 21:38;86864;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;04/05/2026 10:28;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008726/2026;13/04/2026 17:24;87067;Informação recebida não corresponde à solicitada;Primeira Instância;14/04/2026 00:00;22/04/2026 23:59;15/04/2026 14:37;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008806/2026;15/04/2026 15:49;87147;Informação recebida não corresponde à solicitada;Primeira Instância;16/04/2026 00:00;22/04/2026 23:59;17/04/2026 10:30;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009717/2026;24/04/2026 14:13;88058;Informação recebida não corresponde à solicitada;Primeira Instância;27/04/2026 00:00;04/05/2026 23:59;28/04/2026 12:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009811/2026;27/04/2026 16:01;88152;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;04/05/2026 15:38;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009855/2026;27/04/2026 16:09;88196;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;04/05/2026 16:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-010068/2026;27/04/2026 22:49;88409;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;28/04/2026 09:45;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-010069/2026;27/04/2026 22:47;88410;Informação recebida não corresponde à solicitada;Primeira Instância;28/04/2026 00:00;04/05/2026 23:59;28/04/2026 09:46;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000530/2022;14/12/2022 10:26;530;Outros;Primeira Instância;15/12/2022 00:00;19/12/2022 23:59;19/12/2022 17:19;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002684/2022;31/12/2022 15:24;2684;Outros;Primeira Instância;02/01/2023 00:00;06/01/2023 23:59;02/01/2023 09:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000186/2023;09/01/2023 16:32;3582;Outros;Primeira Instância;10/01/2023 00:00;16/01/2023 23:59;12/01/2023 18:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000453/2023;12/01/2023 15:09;3849;Outros;Primeira Instância;13/01/2023 00:00;17/01/2023 23:59;12/01/2023 17:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003203/2022;19/01/2023 10:28;3203;Outros;Primeira Instância;20/01/2023 00:00;24/01/2023 23:59;23/01/2023 13:30;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000339/2023;02/02/2023 18:47;3735;Outros;Primeira Instância;03/02/2023 00:00;07/02/2023 23:59;07/02/2023 15:03;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001277/2023;03/02/2023 15:57;4673;Outros;Primeira Instância;06/02/2023 00:00;10/02/2023 23:59;10/02/2023 12:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001695/2023;09/02/2023 15:52;5091;Outros;Primeira Instância;10/02/2023 00:00;14/02/2023 23:59;14/02/2023 15:34;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001377/2023;09/02/2023 18:46;4773;Outros;Primeira Instância;10/02/2023 00:00;14/02/2023 23:59;14/02/2023 08:00;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000878/2023;10/02/2023 11:43;4274;Outros;Primeira Instância;13/02/2023 00:00;17/02/2023 23:59;15/02/2023 16:04;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000907/2023;10/02/2023 11:43;4303;Outros;Primeira Instância;13/02/2023 00:00;17/02/2023 23:59;17/02/2023 10:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001157/2023;13/02/2023 08:20;4553;Outros;Primeira Instância;14/02/2023 00:00;22/02/2023 23:59;22/02/2023 13:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001287/2023;14/02/2023 10:34;4683;Outros;Primeira Instância;15/02/2023 00:00;22/02/2023 23:59;22/02/2023 15:20;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002096/2023;15/02/2023 10:14;5492;Outros;Primeira Instância;16/02/2023 00:00;22/02/2023 23:59;22/02/2023 17:15;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002579/2023;28/02/2023 16:17;5975;Outros;Primeira Instância;01/03/2023 00:00;06/03/2023 23:59;01/03/2023 08:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002363/2023;01/03/2023 01:48;5759;Outros;Primeira Instância;02/03/2023 00:00;06/03/2023 23:59;06/03/2023 15:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002507/2023;01/03/2023 17:34;5903;Outros;Primeira Instância;02/03/2023 00:00;06/03/2023 23:59;02/03/2023 10:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001590/2023;07/03/2023 14:54;4986;Outros;Primeira Instância;08/03/2023 00:00;13/03/2023 23:59;08/03/2023 14:15;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001965/2023;15/03/2023 10:14;5361;Outros;Primeira Instância;16/03/2023 00:00;20/03/2023 23:59;15/03/2023 17:14;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002809/2023;15/03/2023 23:59;6205;Outros;Primeira Instância;16/03/2023 00:00;20/03/2023 23:59;20/03/2023 14:19;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002862/2023;16/03/2023 00:07;6258;Outros;Primeira Instância;17/03/2023 00:00;21/03/2023 23:59;16/03/2023 14:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002733/2023;16/03/2023 00:38;6129;Outros;Primeira Instância;17/03/2023 00:00;21/03/2023 23:59;20/03/2023 16:54;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003253/2023;23/03/2023 14:46;6649;Outros;Primeira Instância;24/03/2023 00:00;28/03/2023 23:59;28/03/2023 12:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002904/2023;27/03/2023 12:04;6300;Outros;Primeira Instância;28/03/2023 00:00;03/04/2023 23:59;28/03/2023 15:42;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004211/2023;30/03/2023 17:45;7607;Outros;Primeira Instância;31/03/2023 00:00;04/04/2023 23:59;04/04/2023 15:19;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004669/2023;01/04/2023 10:55;8065;Outros;Primeira Instância;03/04/2023 00:00;10/04/2023 23:59;10/04/2023 21:36;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003488/2023;12/04/2023 17:52;6884;Outros;Primeira Instância;13/04/2023 00:00;17/04/2023 23:59;15/04/2023 12:42;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004869/2023;17/04/2023 18:47;8265;Outros;Primeira Instância;18/04/2023 00:00;24/04/2023 23:59;24/04/2023 14:03;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004667/2023;18/04/2023 08:18;8063;Outros;Primeira Instância;19/04/2023 00:00;24/04/2023 23:59;24/04/2023 17:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004293/2023;24/04/2023 14:06;7689;Outros;Primeira Instância;25/04/2023 00:00;02/05/2023 23:59;27/04/2023 15:16;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005003/2023;04/05/2023 08:48;8399;Outros;Primeira Instância;05/05/2023 00:00;09/05/2023 23:59;04/05/2023 15:56;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005268/2023;17/04/2023 17:39;8664;Outros;Primeira Instância;18/04/2023 00:00;24/04/2023 23:59;18/04/2023 15:35;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005370/2023;17/04/2023 17:39;8766;Outros;Primeira Instância;18/04/2023 00:00;24/04/2023 23:59;18/04/2023 14:41;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005417/2023;26/04/2023 12:04;8813;Outros;Primeira Instância;27/04/2023 00:00;02/05/2023 23:59;02/05/2023 21:00;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005444/2023;18/04/2023 16:29;8840;Outros;Primeira Instância;19/04/2023 00:00;24/04/2023 23:59;24/04/2023 17:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005597/2023;18/04/2023 12:20;8993;Outros;Primeira Instância;19/04/2023 00:00;24/04/2023 23:59;18/04/2023 14:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006144/2023;29/04/2023 22:38;9540;Outros;Primeira Instância;02/05/2023 00:00;08/05/2023 23:59;03/05/2023 10:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006173/2023;10/05/2023 13:03;9569;Outros;Primeira Instância;11/05/2023 00:00;15/05/2023 23:59;15/05/2023 10:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006348/2023;12/05/2023 15:01;9744;Outros;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;19/05/2023 12:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006644/2023;28/04/2023 09:21;10040;Outros;Primeira Instância;02/05/2023 00:00;08/05/2023 23:59;03/05/2023 15:43;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006771/2023;05/05/2023 15:52;11166;Outros;Primeira Instância;08/05/2023 00:00;12/05/2023 23:59;08/05/2023 10:33;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006913/2023;22/05/2023 15:11;11308;Outros;Primeira Instância;23/05/2023 00:00;29/05/2023 23:59;26/05/2023 14:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007087/2023;22/05/2023 13:06;11482;Outros;Primeira Instância;23/05/2023 00:00;29/05/2023 23:59;23/05/2023 15:45;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007312/2023;12/05/2023 13:58;11707;Outros;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;17/05/2023 17:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007539/2023;24/05/2023 15:16;11934;Outros;Primeira Instância;25/05/2023 00:00;29/05/2023 23:59;29/05/2023 11:47;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007540/2023;12/06/2023 11:44;11935;Outros;Primeira Instância;13/06/2023 00:00;19/06/2023 23:59;19/06/2023 16:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-007563/2023;19/05/2023 08:19;11958;Outros;Primeira Instância;22/05/2023 00:00;26/05/2023 23:59;26/05/2023 16:09;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008050/2023;26/05/2023 11:21;12445;Outros;Primeira Instância;29/05/2023 00:00;02/06/2023 23:59;01/06/2023 10:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008229/2023;26/05/2023 12:04;12624;Outros;Primeira Instância;29/05/2023 00:00;02/06/2023 23:59;02/06/2023 17:26;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008278/2023;30/05/2023 18:21;12673;Outros;Primeira Instância;31/05/2023 00:00;05/06/2023 23:59;31/05/2023 14:41;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008311/2023;22/06/2023 18:49;12706;Outros;Primeira Instância;23/06/2023 00:00;27/06/2023 23:59;26/06/2023 16:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008657/2023;22/06/2023 11:17;13052;Outros;Primeira Instância;23/06/2023 00:00;27/06/2023 23:59;27/06/2023 19:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008682/2023;15/06/2023 11:09;13077;Outros;Primeira Instância;16/06/2023 00:00;20/06/2023 23:59;19/06/2023 08:29;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008759/2023;22/06/2023 11:53;13154;Outros;Primeira Instância;23/06/2023 00:00;27/06/2023 23:59;27/06/2023 16:39;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008803/2023;21/06/2023 18:30;13198;Outros;Primeira Instância;22/06/2023 00:00;26/06/2023 23:59;26/06/2023 17:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008911/2023;07/06/2023 09:03;13306;Outros;Primeira Instância;12/06/2023 00:00;16/06/2023 23:59;13/06/2023 14:49;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-008994/2023;02/06/2023 11:24;13389;Outros;Primeira Instância;05/06/2023 00:00;09/06/2023 23:59;07/06/2023 12:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009422/2023;14/06/2023 11:47;13817;Outros;Primeira Instância;15/06/2023 00:00;19/06/2023 23:59;15/06/2023 15:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009965/2023;30/06/2023 09:12;14360;Outros;Primeira Instância;03/07/2023 00:00;07/07/2023 23:59;06/07/2023 18:32;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-009985/2023;21/06/2023 12:25;14380;Outros;Primeira Instância;22/06/2023 00:00;26/06/2023 23:59;26/06/2023 20:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-010939/2023;04/07/2023 16:52;15334;Outros;Primeira Instância;05/07/2023 00:00;10/07/2023 23:59;05/07/2023 15:21;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011290/2023;31/07/2023 15:51;15685;Outros;Primeira Instância;01/08/2023 00:00;07/08/2023 23:59;03/08/2023 16:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011498/2023;28/07/2023 10:14;15893;Outros;Primeira Instância;31/07/2023 00:00;04/08/2023 23:59;31/07/2023 11:47;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011571/2023;17/08/2023 09:28;15966;Outros;Primeira Instância;18/08/2023 00:00;22/08/2023 23:59;17/08/2023 16:08;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011713/2023;03/08/2023 08:56;16108;Outros;Primeira Instância;04/08/2023 00:00;08/08/2023 23:59;03/08/2023 17:54;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011890/2023;02/08/2023 15:55;16285;Outros;Primeira Instância;03/08/2023 00:00;07/08/2023 23:59;07/08/2023 14:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011899/2023;24/07/2023 19:37;16294;Outros;Primeira Instância;25/07/2023 00:00;31/07/2023 23:59;25/07/2023 17:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011904/2023;04/08/2023 15:01;16299;Outros;Primeira Instância;07/08/2023 00:00;11/08/2023 23:59;07/08/2023 16:38;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011911/2023;24/07/2023 19:30;16306;Outros;Primeira Instância;25/07/2023 00:00;31/07/2023 23:59;27/07/2023 10:42;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011946/2023;02/08/2023 15:44;16341;Outros;Primeira Instância;03/08/2023 00:00;07/08/2023 23:59;07/08/2023 16:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-011954/2023;27/07/2023 14:23;16349;Outros;Primeira Instância;28/07/2023 00:00;01/08/2023 23:59;27/07/2023 18:49;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012051/2023;19/07/2023 11:47;16446;Outros;Primeira Instância;20/07/2023 00:00;24/07/2023 23:59;20/07/2023 09:26;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012257/2023;11/08/2023 16:38;16652;Outros;Primeira Instância;14/08/2023 00:00;18/08/2023 23:59;18/08/2023 16:37;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012262/2023;31/08/2023 11:02;16657;Outros;Primeira Instância;01/09/2023 00:00;05/09/2023 23:59;01/09/2023 13:38;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012297/2023;26/07/2023 19:44;16692;Outros;Primeira Instância;27/07/2023 00:00;31/07/2023 23:59;31/07/2023 18:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012459/2023;27/07/2023 16:24;16854;Outros;Primeira Instância;28/07/2023 00:00;01/08/2023 23:59;28/07/2023 12:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012564/2023;27/07/2023 17:00;16959;Outros;Primeira Instância;28/07/2023 00:00;01/08/2023 23:59;28/07/2023 17:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012690/2023;15/08/2023 19:20;17085;Outros;Primeira Instância;16/08/2023 00:00;21/08/2023 23:59;21/08/2023 09:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012963/2023;18/08/2023 17:58;17358;Outros;Primeira Instância;21/08/2023 00:00;25/08/2023 23:59;25/08/2023 18:13;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012998/2023;18/08/2023 18:05;17393;Outros;Primeira Instância;21/08/2023 00:00;25/08/2023 23:59;22/08/2023 11:14;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-012999/2023;18/08/2023 18:06;17394;Outros;Primeira Instância;21/08/2023 00:00;25/08/2023 23:59;22/08/2023 11:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013048/2023;09/08/2023 16:46;17443;Outros;Primeira Instância;10/08/2023 00:00;14/08/2023 23:59;14/08/2023 13:37;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013439/2023;30/08/2023 17:13;17834;Outros;Primeira Instância;31/08/2023 00:00;04/09/2023 23:59;31/08/2023 13:43;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013457/2023;25/08/2023 17:10;17852;Outros;Primeira Instância;28/08/2023 00:00;01/09/2023 23:59;31/08/2023 21:24;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013577/2023;22/08/2023 11:13;17972;Outros;Primeira Instância;23/08/2023 00:00;28/08/2023 23:59;28/08/2023 16:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013787/2023;30/08/2023 16:15;18182;Outros;Primeira Instância;31/08/2023 00:00;04/09/2023 23:59;04/09/2023 12:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-013927/2023;11/09/2023 23:46;18322;Outros;Primeira Instância;12/09/2023 00:00;18/09/2023 23:59;14/09/2023 10:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-014166/2023;18/09/2023 15:02;18561;Outros;Primeira Instância;19/09/2023 00:00;25/09/2023 23:59;25/09/2023 10:49;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-014407/2023;25/09/2023 22:35;18802;Outros;Primeira Instância;26/09/2023 00:00;02/10/2023 23:59;26/09/2023 12:38;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-014447/2023;27/09/2023 21:11;18842;Outros;Primeira Instância;28/09/2023 00:00;02/10/2023 23:59;02/10/2023 14:41;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-014515/2023;03/10/2023 12:02;18910;Outros;Primeira Instância;04/10/2023 00:00;09/10/2023 23:59;09/10/2023 17:26;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-014543/2023;12/09/2023 15:29;19934;Outros;Primeira Instância;13/09/2023 00:00;18/09/2023 23:59;13/09/2023 13:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
